datetested,prodname,batch,tamcr1,tamcr2,tymcr1,tymcr2,resultavg,LIMIT
02/03/2026,HYPROMELLOSE,HE4G0037,0,0,0,0,0,<10 CFU/100 ml
02/03/2026,HYPROMELLOSE,HE4G0037,0,0,0,0,0,
02/03/2026,HYPROMELLOSE,HE4G0037,0,0,0,0,0,
03/03/2026,SALBUNEB,HB4G0038,0,0,0,0,0,
03/03/2026,SALBUNEB,HB4G0039,0,0,0,0,0,
05/03/2026,SALBUNEB,HB4G0050,0,0,0,0,0,
05/03/2026,SALBUNEB,HB4G0051,0,0,0,0,0,
06/03/2026,COMBINEB,HB3G0052,0,0,0,0,0,
06/03/2026,COMBINEB,HB3G0052,0,0,0,0,0,
06/03/2026,IPRANEB 250,HB1G0053,0,0,0,0,0,
07/03/2026,IPRANEB 500,HB2G0054,0,0,0,0,0,
07/03/2026,IPRANEB 500,HB2G0054,0,0,0,0,0,
09/03/2026,IPRANEB 500,HB2G0054,0,0,0,0,0,
09/03/2026,IPRANEB 500,HB2G0054,0,0,0,0,0,
16/03/2026,TIMOLAIN (bulk tank),HEIG0055,0,0,0,0,0,
16/03/2026,TIMOLAIN (bulk tank),HEIG0056,0,0,0,0,0,
16/03/2026,TIMOLAIN (bulk tank),HEIG0057,0,0,0,0,0,
16/03/2026,TIMOLAIN (bulk tank),HEIG0058,0,0,0,0,0,
16/03/2026,TIMOLAIN (bulk tank),HEIG0059,0,0,0,0,0,
16/03/2026,TIMOLAIN (bulk tank),HEIG0060,0,0,0,0,0,
17/03/2026,TIMOLAIN (bulk tank),HEIG0061,0,0,0,0,0,
19/03/2026,CIPOFAIN (bulk tank),HE0G0062,0,0,0,0,0,
27/03/2026,HYPROMELLOSE,THE4G005,0,0,0,0,0,
27/03/2026,HYPROMELLOSE,THE4G005,0,0,0,0,0,
27/03/2026,HYPROMELLOSE,THE4G005,0,0,0,0,0,
28/03/2026,HYPROMELLOSE,THE4G005,0,0,0,0,0,
28/03/2026,HYPROMELLOSE,THE4G006,0,0,0,0,0,
28/03/2026,HYPROMELLOSE,THE4G006,0,0,0,0,0,
30/03/2026,HYPROMELLOSE,THE4G006,0,0,0,0,0,
30/03/2026,HYPROMELLOSE,THE4G006,0,0,0,0,0,
30/03/2026,HYPROMELLOSE,THE4G007,0,0,0,0,0,
31/03/2026,HYPROMELLOSE,THE4G007,0,0,0,0,0,
01/03/2026,COMBINEB,THB3G008,0,0,0,0,0,
01/03/2026,COMBINEB,THB3G008,0,0,0,0,0,
02/03/2026,COMBINEB,THB3G009,0,0,0,0,0,
02/03/2026,COMBINEB,THB3G009,0,0,0,0,0,
02/03/2026,COMBINEB,THB3G010,0,0,0,0,0,
03/03/2026,COMBINEB,THB3G010,0,0,0,0,0,
03/03/2026,COMBINEB,HB3G0063,0,0,0,0,0,
03/03/2026,COMBINEB,HB3G0063,0,0,0,0,0,
03/03/2026,COMBINEB,HB3G0063,0,0,0,0,0,
03/03/2026,FUROMIDE,HAGG0064,0,0,0,0,0,
03/03/2026,FUROMIDE,HAGG0065,0,0,0,0,0,
06/03/2026,FUROMIDE,HAGG0066,3,2,0,0,3,Gram positive bacteria Micrococcus
06/03/2026,FUROMIDE,HAGG0067,1,1,0,0,1,Gram positive bacteria Micrococcus
07/03/2026,FUROMIDE,HAGG0068,0,0,0,0,0,
07/03/2026,FUROMIDE,HAGG0069,0,0,0,0,0,
07/03/2026,FUROMIDE,HAGG0070,0,0,0,0,0,
08/03/2026,FUROMIDE,HAGG0071,0,0,0,0,0,
08/03/2026,FUROMIDE,HAGG0072,0,0,0,0,0,
08/03/2026,FUROMIDE,HAGG0073,0,0,0,0,0,
15/03/2026,FUROMIDE,HAGG0074,0,0,0,0,0,
15/03/2026,FUROMIDE,HAGG0075,0,0,0,0,0,
15/03/2026,FUROMIDE,HAGG0076,0,0,0,0,0,
16/03/2026,SALBUNEB,HB4G0077,0,0,0,0,0,
16/03/2026,SALBUNEB,HB4G0077,0,0,0,0,0,
